GEO sample,Returned title,Immunophenotype,Developmental stage
GSM1480291,Luminal virgin #1,luminal cell population,virgin
GSM1480292,Luminal virgin #2,luminal cell population,virgin
GSM1480293,Luminal 18.5 dP #1,luminal cell population,18.5 day pregnancy
GSM1480294,Luminal 18.5 dP #2,luminal cell population,18.5 day pregnancy
GSM1480295,Luminal 2 dL #1,luminal cell population,2 day lactation
GSM1480296,Luminal 2 dL #2,luminal cell population,2 day lactation
GSM1480297,Basal virgin #1,basal cell population,virgin
GSM1480298,Basal virgin #2,basal cell population,virgin
GSM1480299,Basal 18.5 dP #1,basal cell population,18.5 day pregnancy
GSM1480300,Basal 18.5 dP #2,basal cell population,18.5 day pregnancy
GSM1480301,Basal 2 dL #1,basal cell population,2 day lactation
GSM1480302,Basal 2 dL #2,basal cell population,2 day lactation
