compact_sample,original_column_name,total_raw_counts,zero_count_genes,detected_genes_count_gt_0,median_count_among_detected_genes
MCL1-DG,MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1,23227641,8664,18515,237
MCL1-DH,MCL1-DH_BC2CTUACXX_CAGATC_L002_R1,21777891,8792,18387,223
MCL1-DI,MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1,24100765,8646,18533,213
MCL1-DJ,MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1,22665371,8706,18473,194
MCL1-DK,MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1,21529331,9082,18097,188
MCL1-DL,MCL1-DL_BC2CTUACXX_ATCACG_L002_R1,20015386,9169,18010,190.0
MCL1-LA,MCL1-LA_BC2CTUACXX_GATCAG_L001_R1,20392113,9247,17932,257.0
MCL1-LB,MCL1-LB_BC2CTUACXX_TGACCA_L001_R1,21708152,8828,18351,252
MCL1-LC,MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1,22241607,9803,17376,191.0
MCL1-LD,MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1,21988240,9904,17275,176
MCL1-LE,MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1,24723827,10478,16701,138
MCL1-LF,MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1,24657293,10434,16745,135
