"sample_label","original_sample_name","total_raw_counts","zero_count_genes","detected_genes","median_detected_count"
"S01","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1",23227641,8664,18515,237
"S02","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1",21777891,8792,18387,223
"S03","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1",24100765,8646,18533,213
"S04","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1",22665371,8706,18473,194
"S05","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1",21529331,9082,18097,188
"S06","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1",20015386,9169,18010,190
"S07","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1",20392113,9247,17932,257
"S08","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1",21708152,8828,18351,252
"S09","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1",22241607,9803,17376,191
"S10","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1",21988240,9904,17275,176
"S11","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1",24723827,10478,16701,138
"S12","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1",24657293,10434,16745,135
