DOI,year,setting,randomization unit,sample size,intervention,comparator,primary outcome,reported main estimate with uncertainty,analysis population,important limitation,source section/table locator
10.1371/journal.pone.0240287,2020,"Hajj pilgrimage tents, Mina/Makkah, Saudi Arabia (2013–2015)",Accommodation tent (cluster),"7,687 adults; 318 tents",50 surgical/medical masks supplied; instructed use over 4 days,No masks supplied; participants could use own masks,Co-primary: laboratory-confirmed viral respiratory infection; clinical respiratory infection,ITT: laboratory-confirmed infection OR 1.4 (95% CI 0.9–2.1); clinical infection OR 1.1 (95% CI 0.9–1.4),Intention-to-treat (primary); per-protocol also reported,Poor adherence and substantial control-arm mask use; field randomization changed from planned computer allocation to coin toss,"Study section 1, Abstract; Methods—Trial design/Measures/Statistical analysis; Table 3 (Primary and subgroup analyses by intention to treat)"
10.1126/science.abi9069,2022,"600 rural villages, Bangladesh",Village (cluster),"342,183 adults in 600 villages; 336,010 completed symptom surveys",Community mask-promotion package plus free masks; villages assigned surgical or cloth masks,No intervention,Symptomatic SARS-CoV-2 seroprevalence,Adjusted prevalence ratio 0.91 (95% CI 0.82–1.00); surgical-mask villages 0.89 (0.78–1.00); cloth-mask villages 0.94 (0.78–1.10),Primary prespecified village-clustered analysis with pair fixed effects and baseline controls,"Only symptomatic participants were asked for blood; 39.7% consented, so outcome has missing serology; intervention was a promotion package, not mask efficacy alone","Study section 2, 'Our intervention reduced symptomatic seroprevalence'; Table 2; appendix N noted for missing-data analyses"
10.1136/bmjopen-2016-012330,2016,"Households recruited through 6 hospitals in Beijing, China",Index-case household (cluster),"245 index cases (123 mask, 122 control) and 597 household members/contacts (302 mask arm, 295 control arm)",Medical mask worn by index case with influenza-like illness (source control),No assigned mask,"Clinical respiratory illness, influenza-like illness, and laboratory-confirmed viral respiratory infection in household contacts",ITT RR: clinical respiratory illness 0.61 (95% CI 0.18–2.13); ILI 0.32 (0.03–3.13); laboratory-confirmed viral infection 0.97 (0.06–15.54),Intention-to-treat primary analysis,Small sample and low secondary attack rates; 43 control index cases used masks; post hoc as-treated result must not replace ITT,"Study section 3, Table 1 (index cases and household members); Results; Table 2 (ITT outcomes)"
10.1136/bmjopen-2014-006577,2015,"High-risk wards in 14 secondary/tertiary hospitals, Hanoi, Vietnam",Hospital ward (cluster),"1,607 healthcare workers","Two-layer cotton cloth masks, worn every shift for 4 weeks",Medical masks; third randomized usual-practice control included mask wearing,"Clinical respiratory illness, influenza-like illness, and laboratory-confirmed respiratory virus infection",Cloth versus medical mask: ILI RR 13.00 (95% CI 1.69–100.07),Intention-to-treat randomized ward comparison,Usual-practice control included mask use; very few ILI events produced an extremely imprecise estimate; reusable cloth-mask conditions differ from medical masks,"Study section 4, Abstract; Results; main outcome tables"
10.1371/journal.pone.0013998,2010,"Households recruited by general practitioners in three regions of France, 2008–2009 influenza season",Household (cluster),"105 households; 306 contacts (148 intervention, 158 control)",Index case wore a surgical mask for 5 days,No mask assigned,Influenza-like illness in household contacts during 7 days,"Risk difference 0.40 percentage points (95% CI −10 to 11); 24/148 (16.2%) versus 25/158 (15.8%), P=1.00",Cluster-aware primary household-contact analysis (GEE); randomized groups,"Trial stopped early after 105 of planned 372 households, leaving inadequate power","Study section 5, Abstract; Methods; Results"
10.1371/journal.pone.0029744,2012,"University residence houses, University of Michigan, USA, 2007–2008 influenza season",Residence house (cluster),"1,178 students/young adults; 37 residence houses in 5 halls",Face masks alone; separate face mask plus alcohol hand-hygiene arm,Control,Influenza-like illness and laboratory-confirmed influenza A/B over 6 weeks,Cumulative ITT ILI (unadjusted Table 3): face mask only vs control RR 1.08 (95% CI 0.86–1.34); face mask+hand hygiene vs control RR 0.78 (0.59–1.05). Cumulative laboratory-confirmed influenza (adjusted): face mask only RR 0.92 (0.59–1.42); face mask+hand hygiene RR 0.57 (0.26–1.24),Intention-to-treat; cumulative ILI Table 3 unadjusted N=938 (adjusted-model N=828 stated separately); laboratory-confirmed influenza adjusted-model N=986,"Only 34 incident influenza cases limited power; cumulative ILI and laboratory-confirmed influenza models use different analysis denominators, and adjusted and unadjusted estimates must remain labeled separately","Study section 6, Statistical analysis; Results; Table 3 (cumulative ILI ITT); Results paragraph and Table 4 (cumulative laboratory-confirmed influenza)"
10.1186/1471-2334-12-26,2012,"Households with influenza-positive index cases, Berlin, Germany, 2009–2011",Household (cluster),"84 households; 218 household contacts (82 control, 69 mask, 67 mask+hand hygiene)",Facemasks alone; separate facemask plus intensified hand-hygiene arm,No mask or intensified hand hygiene,qRT-PCR-confirmed influenza in household contacts,ITT mask-only versus control OR 0.41 (95% CI 0.14–1.19); no statistically significant ITT effect,Intention-to-treat (n=216 contacts in regression); early-start and per-protocol analyses secondary,Small trial; adherence and timing varied; significant early-implementation/per-protocol findings are not the primary ITT result,"Study section 7, Abstract; Primary outcome measure; Tables 2–3 (ITT regression)"
10.1111/j.1750-2659.2011.00198.x,2011,"Healthcare workers in 15 Beijing hospitals, China, winter 2008–2009",Hospital (cluster); 15 hospitals randomized,"1,441 randomized healthcare workers; additional 481-worker convenience no-mask group was nonrandomized","Fit-tested N95 respirator or non-fit-tested N95 respirator, worn for entire shift for 4 weeks",Medical mask; convenience no-mask group not part of randomized comparison,"Clinical respiratory illness, ILI, laboratory-confirmed respiratory virus infection, and influenza","ITT, medical mask reference, random-effects logistic model accounting for hospital clustering. Fit-tested N95 ORs: CRI 0.76 (95% CI 0.27–2.13), ILI 0.35 (0.04–3.42), laboratory-confirmed virus 0.69 (0.24–2.03), influenza 0.64 (0.15–2.68). Non-fit-tested N95 ORs: CRI 0.48 (0.24–0.98), ILI 0.67 (0.11–4.03), laboratory-confirmed virus 0.39 (0.12–1.22); influenza OR not estimable (0/488 events). All-N95 ORs: CRI 0.62 (0.28–1.35), ILI 0.52 (0.10–2.57), laboratory-confirmed virus 0.54 (0.21–1.36), influenza 0.31 (0.07–1.32)","Intention-to-treat randomized comparison of 1,441 healthcare workers in 15 hospitals; convenience no-mask hospitals excluded from primary randomized analysis",Hospital-level randomization used only 15 clusters; low event counts and wide CIs; convenience no-mask group was nonrandomized; post hoc confounder-adjusted Table 4 is not substituted for the prespecified cluster-adjusted ITT estimates in Table 2,"Study section 8, Methods—Randomization and intervention (hospital unit); Results; Table 2 (cluster-adjusted randomized ITT estimates)"
10.3201/eid1502.081167,2009,"Households in Sydney, Australia, winter influenza seasons 2006–2007",Household (cluster),143 households; 286 susceptible household contacts,Surgical masks or P2 respirators worn by household contacts,No-mask control,Influenza-like illness/laboratory-confirmed respiratory viral infection in household contacts,Primary ITT ILI. By household: all masks vs control RR 1.12 (95% CI 0.62–2.03); surgical mask RR 1.33 (0.70–2.54); P2 respirator RR 0.91 (0.43–1.89). By individual: all masks RR 1.11 (0.64–1.91); surgical mask RR 1.29 (0.69–2.31); P2 respirator RR 0.95 (0.49–1.84). Laboratory-confirmed respiratory infection by individual: all masks RR 2.51 (0.74–8.50); surgical mask RR 2.13 (0.55–8.26); P2 RR 2.90 (0.79–10.6),"Intention-to-treat, reported both by randomized household (50 control, 47 surgical, 46 P2) and by susceptible individual (100 control, 94 surgical, 92 P2)",Low adherence; significant findings among adherent users were secondary and are not substitutes for ITT; low laboratory-confirmed event counts yielded very wide CIs,"Study section 9, Results; Table 4 (intention-to-treat analysis by household and individual)"
10.1371/journal.pone.0002101,2008,Hong Kong households with rapid-test-positive influenza index cases,Household (cluster),"198 households randomized; 128 households received/followed with home visits (370 household contacts); 122 households had laboratory-confirmed influenza in the index case and contributed 350 contacts to crude secondary-attack analyses; 5 contacts lacked age, leaving 345 in adjusted Table 3 (202 control, 60 face mask, 83 hand hygiene)",Surgical face masks for household members,Control; separate hand-hygiene arm,Laboratory-confirmed influenza in household contacts (secondary attack),Adjusted laboratory-confirmed influenza in household contacts (Table 3): face masks versus control OR 1.16 (95% CI 0.31–4.34); hand hygiene versus control OR 1.07 (0.29–4.00),"Randomized household trial with attrition: 198 randomized, 128 followed; efficacy subset restricted to 122 followed households whose index case had laboratory-confirmed influenza. Adjusted multivariable analysis included 345 of 350 contacts (202 control, 60 face mask, 83 hand hygiene) after excluding 5 with missing age",Substantial post-randomization attrition (70/198 households had no home visits); efficacy analyses excluded 6 followed households without confirmed influenza in the index case and 5 contacts with missing age from adjusted models; adherence was variable,"Study section 10, Abstract; Results—Characteristics/Numbers analyzed/Main outcomes; Table 1 (flow and 370 contacts); Table 2 (122 households/350 contacts); Table 3 (adjusted analysis, n=345)"
