pmcid,doi,title,source_url,xml_url
PMC7553311,10.1371/journal.pone.0240287,Facemask against viral respiratory infections among Hajj pilgrims: A challenging cluster-randomized trial,https://pmc.ncbi.nlm.nih.gov/articles/PMC7553311/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7553311/fullTextXML
PMC9036942,10.1126/science.abi9069,Impact of community masking on COVID-19: A cluster-randomized trial in Bangladesh,https://pmc.ncbi.nlm.nih.gov/articles/PMC9036942/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9036942/fullTextXML
PMC5223715,10.1136/bmjopen-2016-012330,Cluster randomised controlled trial to examine medical mask use as source control for people with respiratory illness,https://pmc.ncbi.nlm.nih.gov/articles/PMC5223715/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5223715/fullTextXML
PMC4420971,10.1136/bmjopen-2014-006577,A cluster randomised trial of cloth masks compared with medical masks in healthcare workers,https://pmc.ncbi.nlm.nih.gov/articles/PMC4420971/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4420971/fullTextXML
PMC2984432,10.1371/journal.pone.0013998,Surgical Mask to Prevent Influenza Transmission in Households: A Cluster Randomized Trial,https://pmc.ncbi.nlm.nih.gov/articles/PMC2984432/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2984432/fullTextXML
PMC3266257,10.1371/journal.pone.0029744,"Facemasks, Hand Hygiene, and Influenza among Young Adults: A Randomized Intervention Trial",https://pmc.ncbi.nlm.nih.gov/articles/PMC3266257/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3266257/fullTextXML
PMC3285078,10.1186/1471-2334-12-26,"The role of facemasks and hand hygiene in the prevention of influenza transmission in households: results from a cluster randomised trial; Berlin, Germany, 2009-2011",https://pmc.ncbi.nlm.nih.gov/articles/PMC3285078/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3285078/fullTextXML
PMC4941587,10.1111/j.1750-2659.2011.00198.x,A cluster randomized clinical trial comparing fit‐tested and non‐fit‐tested N95 respirators to medical masks to prevent respiratory virus infection in health care workers,https://pmc.ncbi.nlm.nih.gov/articles/PMC4941587/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4941587/fullTextXML
PMC2662657,10.3201/eid1502.081167,Face Mask Use and Control of Respiratory Virus Transmission in Households,https://pmc.ncbi.nlm.nih.gov/articles/PMC2662657/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2662657/fullTextXML
PMC2364646,10.1371/journal.pone.0002101,Preliminary Findings of a Randomized Trial of Non-Pharmaceutical Interventions to Prevent Influenza Transmission in Households,https://pmc.ncbi.nlm.nih.gov/articles/PMC2364646/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2364646/fullTextXML
