date,station,pm25_mean_ug_m3,valid_hours,expected_hours,missing_pm25_hours,completeness_pct,meets_18h_rule,hourly_rows
2016-01-01,Aotizhongxin,164.958,24,24,0,100.000,True,24
2016-01-02,Aotizhongxin,272.792,24,24,0,100.000,True,24
2016-01-03,Aotizhongxin,263.375,24,24,0,100.000,True,24
2016-01-04,Aotizhongxin,45.458,24,24,0,100.000,True,24
2016-01-05,Aotizhongxin,31.167,24,24,0,100.000,True,24
2016-01-06,Aotizhongxin,23.875,24,24,0,100.000,True,24
2016-01-07,Aotizhongxin,11.917,24,24,0,100.000,True,24
2016-01-08,Aotizhongxin,30.958,24,24,0,100.000,True,24
2016-01-09,Aotizhongxin,68.000,24,24,0,100.000,True,24
2016-01-10,Aotizhongxin,43.667,24,24,0,100.000,True,24
2016-01-11,Aotizhongxin,11.652,23,24,1,95.833,True,24
2016-01-12,Aotizhongxin,12.833,24,24,0,100.000,True,24
2016-01-13,Aotizhongxin,19.583,24,24,0,100.000,True,24
2016-01-14,Aotizhongxin,60.542,24,24,0,100.000,True,24
