No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
25033,2016,1,8,0,19,22,13,35,700,43,-3.5,1024.1,-17.1,0,N,2,Aotizhongxin
25034,2016,1,8,1,16,22,12,33,700,43,-3.1,1023.7,-16.8,0,NNW,1.9,Aotizhongxin
25035,2016,1,8,2,14,29,11,29,600,46,-3.3,1024,-16.6,0,N,3.6,Aotizhongxin
25036,2016,1,8,3,12,22,9,22,500,51,-3.5,1023.8,-16.8,0,N,2.2,Aotizhongxin
25037,2016,1,8,4,10,22,7,20,400,NA,-3.3,1023.5,-17,0,NNW,2.6,Aotizhongxin
25038,2016,1,8,5,8,39,8,21,400,49,-3.8,1023.6,-17.8,0,N,3,Aotizhongxin
25039,2016,1,8,6,8,17,8,24,500,46,-4.5,1023.9,-17.7,0,NNE,3.1,Aotizhongxin
25040,2016,1,8,7,12,28,9,27,500,44,-7,1024.6,-17.8,0,ENE,1.9,Aotizhongxin
25041,2016,1,8,8,10,29,12,35,600,37,-7.7,1025.3,-17.6,0,ENE,1.1,Aotizhongxin
25042,2016,1,8,9,15,37,15,43,800,32,-6,1026,-17.7,0,NE,2.2,Aotizhongxin
25043,2016,1,8,10,23,49,12,51,1000,28,-4,1026.1,-17.6,0,NE,2.5,Aotizhongxin
25044,2016,1,8,11,18,31,11,33,800,45,-2,1025.5,-17.3,0,NNE,3,Aotizhongxin
25045,2016,1,8,12,11,15,7,17,500,60,-0.9,1024.8,-17.6,0,NE,2.7,Aotizhongxin
25046,2016,1,8,13,7,9,5,14,500,66,-0.2,1023.7,-17.4,0,ENE,2.8,Aotizhongxin
25047,2016,1,8,14,8,10,6,16,500,65,1.2,1022.8,-17.7,0,NNE,2.4,Aotizhongxin
25048,2016,1,8,15,10,11,8,16,500,67,1,1022.6,-17.9,0,ENE,1.8,Aotizhongxin
25049,2016,1,8,16,14,14,8,18,400,66,1,1022.6,-18.4,0,ESE,1.4,Aotizhongxin
25050,2016,1,8,17,13,19,10,27,500,59,-0.7,1022.5,-17,0,E,1.4,Aotizhongxin
25051,2016,1,8,18,15,39,11,59,1000,29,-3.1,1022.8,-15.8,0,E,0.7,Aotizhongxin
25052,2016,1,8,19,48,89,24,99,1500,8,-4.1,1022.9,-14,0,WSW,0.9,Aotizhongxin
25053,2016,1,8,20,93,126,32,113,2000,7,-3.1,1022.8,-14.8,0,WSW,1.6,Aotizhongxin
25054,2016,1,8,21,110,137,34,113,2300,7,-2,1022.6,-14.8,0,WSW,2,Aotizhongxin
25055,2016,1,8,22,123,151,37,112,2400,7,-4.2,1022.4,-12.4,0,W,1.2,Aotizhongxin
25056,2016,1,8,23,126,144,39,110,2600,7,-4.7,1022.4,-12.8,0,W,1.1,Aotizhongxin
25057,2016,1,9,0,117,133,38,104,2200,7,-5.6,1022.3,-13,0,E,0.4,Aotizhongxin
25058,2016,1,9,1,120,135,34,103,2300,6,-6.2,1022,-12.1,0,SW,0.4,Aotizhongxin
25059,2016,1,9,2,121,158,28,101,3100,6,-5.6,1022.3,-12.8,0,NE,1.6,Aotizhongxin
25060,2016,1,9,3,80,81,32,88,2500,8,-6.5,1022.2,-13.2,0,E,0.7,Aotizhongxin
25061,2016,1,9,4,55,55,25,75,1700,9,-8.1,1021.8,-13.3,0,ENE,0.9,Aotizhongxin
25062,2016,1,9,5,39,39,21,76,1700,6,-9,1021.5,-14.8,0,E,0.6,Aotizhongxin
25063,2016,1,9,6,32,32,16,70,1500,8,-8.9,1021.3,-15.1,0,NE,0.8,Aotizhongxin
25064,2016,1,9,7,15,15,10,53,900,21,-7.8,1021.4,-16.2,0,ENE,0.9,Aotizhongxin
25065,2016,1,9,8,15,15,8,51,800,24,-9.3,1021.6,-16.3,0,E,0.6,Aotizhongxin
25066,2016,1,9,9,16,22,9,52,1000,24,-6.1,1022.2,-16.1,0,ENE,1.3,Aotizhongxin
25067,2016,1,9,10,28,42,17,62,1400,19,-4,1022.3,-15.3,0,ENE,2,Aotizhongxin
25068,2016,1,9,11,42,48,18,60,1500,26,-1.5,1021.8,-15,0,SE,0.7,Aotizhongxin
25069,2016,1,9,12,43,56,20,59,1500,30,1.1,1020.7,-14.2,0,NNE,0.7,Aotizhongxin
25070,2016,1,9,13,46,50,29,55,1400,37,2.3,1019.6,-14.4,0,NNE,0.8,Aotizhongxin
25071,2016,1,9,14,52,59,32,64,1400,34,3.6,1019,-15.1,0,WSW,0.7,Aotizhongxin
25072,2016,1,9,15,54,59,27,79,1500,24,4.6,1019,-14.8,0,SW,1.2,Aotizhongxin
25073,2016,1,9,16,41,45,17,77,1100,29,4,1019.1,-15.9,0,SSW,1.5,Aotizhongxin
25074,2016,1,9,17,48,81,26,99,1400,17,2.6,1019.5,-15.5,0,SW,1.1,Aotizhongxin
25075,2016,1,9,18,58,106,24,109,1700,7,0.7,1019.8,-13,0,SW,1.3,Aotizhongxin
25076,2016,1,9,19,88,136,30,123,2300,6,0,1020.2,-13.7,0,WSW,1.8,Aotizhongxin
25077,2016,1,9,20,115,149,36,125,2400,7,0.6,1020.8,-13.9,0,W,1.8,Aotizhongxin
25078,2016,1,9,21,129,158,41,127,2700,7,-3.6,1021.1,-12.3,0,WSW,0.7,Aotizhongxin
25079,2016,1,9,22,148,171,41,130,3100,8,-4.6,1021.4,-11.6,0,E,0.9,Aotizhongxin
25080,2016,1,9,23,130,163,38,115,3200,8,-4.6,1021.8,-11.8,0,E,0.5,Aotizhongxin
25081,2016,1,10,0,74,74,32,89,1800,8,-4.1,1021.9,-13.2,0,NE,1.1,Aotizhongxin
25082,2016,1,10,1,85,100,46,93,2900,9,-5.4,1022.2,-12,0,E,0.7,Aotizhongxin
25083,2016,1,10,2,82,86,29,86,2600,9,-5.8,1022.8,-12.3,0,NNE,1,Aotizhongxin
25084,2016,1,10,3,46,46,17,70,1400,9,-3.6,1023.1,-14.4,0,NNE,1.5,Aotizhongxin
25085,2016,1,10,4,29,29,10,55,1100,NA,-4.4,1023,-14.6,0,NE,0.6,Aotizhongxin
25086,2016,1,10,5,25,25,6,39,900,32,-5.2,1023.4,-15.9,0,ENE,1.2,Aotizhongxin
25087,2016,1,10,6,20,22,7,49,900,29,-7.1,1024,-15.1,0,NE,1,Aotizhongxin
25088,2016,1,10,7,22,30,9,62,900,19,-8,1025.1,-14.8,0,ENE,1.2,Aotizhongxin
25089,2016,1,10,8,22,34,10,63,900,19,-7.4,1025.9,-15.1,0,NNE,1.3,Aotizhongxin
25090,2016,1,10,9,24,37,12,61,1000,22,-4.1,1026.9,-13.8,0,ENE,1.4,Aotizhongxin
25091,2016,1,10,10,26,39,11,50,1000,34,-1.9,1027.6,-16.1,0,E,2,Aotizhongxin
25092,2016,1,10,11,25,32,8,44,800,44,-0.9,1027.5,-16.3,0,ESE,1.7,Aotizhongxin
25093,2016,1,10,12,28,29,10,41,900,51,0,1026.7,-16.8,0,ESE,1.8,Aotizhongxin
25094,2016,1,10,13,30,32,13,43,1000,50,0,1026,-16.4,0,ESE,1.7,Aotizhongxin
25095,2016,1,10,14,34,40,17,54,1200,43,0.4,1025.6,-16.5,0,ESE,2.1,Aotizhongxin
25096,2016,1,10,15,58,86,32,80,2300,26,0.2,1025.8,-15.8,0,S,1.5,Aotizhongxin
25097,2016,1,10,16,57,89,30,82,2100,25,-0.4,1026.4,-15.9,0,SE,1.5,Aotizhongxin
25098,2016,1,10,17,69,113,33,90,2300,18,-0.9,1027.5,-15.9,0,ESE,1.6,Aotizhongxin
25099,2016,1,10,18,66,108,28,97,2300,9,-0.8,1028.3,-15.5,0,SE,1,Aotizhongxin
25100,2016,1,10,19,61,89,29,96,2300,7,-3.3,1029,-14.7,0,E,1.3,Aotizhongxin
25101,2016,1,10,20,64,99,32,96,2700,8,-4.7,1030,-15.1,0,NW,0.1,Aotizhongxin
25102,2016,1,10,21,65,105,25,90,2600,13,-3,1030.8,-15,0,NNE,2.2,Aotizhongxin
25103,2016,1,10,22,20,36,2,39,900,46,-3.5,1031.4,-20.3,0,NNE,2.4,Aotizhongxin
25104,2016,1,10,23,16,25,2,37,800,45,-4.7,1031.7,-20.5,0,NE,1.9,Aotizhongxin
25105,2016,1,11,0,17,26,2,45,800,38,-7.1,1032.1,-22.2,0,NE,1.8,Aotizhongxin
25106,2016,1,11,1,13,31,2,26,700,52,-5.2,1032.4,-19.4,0,NNE,2.1,Aotizhongxin
25107,2016,1,11,2,12,28,2,23,600,52,-5.8,1032.9,-18.8,0,NE,1.9,Aotizhongxin
25108,2016,1,11,3,10,32,2,25,700,51,-5.6,1032.8,-18.7,0,N,2.2,Aotizhongxin
25109,2016,1,11,4,10,26,2,24,600,50,-6,1032.3,-19.4,0,NNW,4.2,Aotizhongxin
25110,2016,1,11,5,8,31,2,20,600,55,-7.8,1032.6,-20.3,0,NNW,3.4,Aotizhongxin
25111,2016,1,11,6,6,23,2,21,600,55,-8.5,1032.8,-21.6,0,N,4,Aotizhongxin
25112,2016,1,11,7,7,18,2,27,600,49,-8.4,1033.3,-20.5,0,NE,2,Aotizhongxin
25113,2016,1,11,8,11,18,2,30,700,46,-9.4,1033.2,-21.4,0,N,2.2,Aotizhongxin
25114,2016,1,11,9,13,31,2,30,800,46,-8.5,1034.1,-20.9,0,NE,2.5,Aotizhongxin
25115,2016,1,11,10,13,24,2,20,700,57,-7.7,1034,-21.9,0,N,3.6,Aotizhongxin
25116,2016,1,11,11,12,23,2,15,700,62,-6.5,1033.6,-21.6,0,NNE,3,Aotizhongxin
25117,2016,1,11,12,12,19,2,14,700,65,-5.2,1032.7,-21.8,0,NNE,4.2,Aotizhongxin
25118,2016,1,11,13,6,13,2,11,600,69,-4.7,1031.4,-21.8,0,NNW,3.4,Aotizhongxin
25119,2016,1,11,14,12,14,2,13,600,69,-3.8,1030.5,-22,0,NNW,2.2,Aotizhongxin
25120,2016,1,11,15,NA,NA,NA,NA,NA,NA,-4.3,1030.3,-22.9,0,NW,3.1,Aotizhongxin
25121,2016,1,11,16,9,23,2,17,600,66,-5.1,1030,-23.6,0,NW,2.6,Aotizhongxin
25122,2016,1,11,17,11,32,2,23,600,61,-3.6,1030.1,-22.8,0,NW,2.1,Aotizhongxin
