"method","item","dimension","loading"
"PCA","A1","RotPC1",0.136232812558958
"PCA","A2","RotPC1",-0.219707319061325
"PCA","A3","RotPC1",-0.34780920373717
"PCA","A4","RotPC1",-0.209573859005406
"PCA","A5","RotPC1",-0.435915319913365
"PCA","C1","RotPC1",-0.073041336381024
"PCA","C2","RotPC1",-0.0383813330010829
"PCA","C3","RotPC1",-0.00351014813005262
"PCA","C4","RotPC1",-0.0432533553975255
"PCA","C5","RotPC1",-0.172618748354876
"PCA","E1","RotPC1",-0.679547224527138
"PCA","E2","RotPC1",-0.722189464974756
"PCA","E3","RotPC1",-0.625553720599416
"PCA","E4","RotPC1",-0.700330088241022
"PCA","E5","RotPC1",-0.585736906167157
"PCA","N1","RotPC1",-0.0782931777398913
"PCA","N2","RotPC1",-0.0352421600918297
"PCA","N3","RotPC1",0.0440010437954091
"PCA","N4","RotPC1",0.354141069061197
"PCA","N5","RotPC1",0.170411147661624
"PCA","O1","RotPC1",-0.267557823824973
"PCA","O2","RotPC1",0.0236496849672659
"PCA","O3","RotPC1",-0.364760650252036
"PCA","O4","RotPC1",0.255211251750514
"PCA","O5","RotPC1",0.0129543711613402
"PCA","A1","RotPC2",-0.147082930237752
"PCA","A2","RotPC2",0.033687568901101
"PCA","A3","RotPC2",0.00855993778372567
"PCA","A4","RotPC2",-0.0683159649208212
"PCA","A5","RotPC2",-0.129349053561194
"PCA","C1","RotPC2",0.031224585969781
"PCA","C2","RotPC2",0.1152089659906
"PCA","C3","RotPC2",-0.0192045346708904
"PCA","C4","RotPC2",-0.266037507456968
"PCA","C5","RotPC2",-0.321442389631748
"PCA","E1","RotPC2",-0.0406886835843208
"PCA","E2","RotPC2",-0.263723228844948
"PCA","E3","RotPC2",0.0413146338403422
"PCA","E4","RotPC2",-0.119083665215589
"PCA","E5","RotPC2",0.0558968895458052
"PCA","N1","RotPC2",0.80622436459781
"PCA","N2","RotPC2",0.79385639231379
"PCA","N3","RotPC2",0.793664297794723
"PCA","N4","RotPC2",0.649463904322061
"PCA","N5","RotPC2",0.631285284441065
"PCA","O1","RotPC2",0.0107483514730853
"PCA","O2","RotPC2",-0.216547825536377
"PCA","O3","RotPC2",0.039397808227404
"PCA","O4","RotPC2",0.26726089317074
"PCA","O5","RotPC2",-0.105271532369395
"PCA","A1","RotPC3",0.0723511661107925
"PCA","A2","RotPC3",-0.130418983415463
"PCA","A3","RotPC3",-0.0993904460937167
"PCA","A4","RotPC3",-0.255756877060777
"PCA","A5","RotPC3",-0.0743463374990635
"PCA","C1","RotPC3",-0.65387188747187
"PCA","C2","RotPC3",-0.7384584461656
"PCA","C3","RotPC3",-0.679321546792531
"PCA","C4","RotPC3",-0.691850491424442
"PCA","C5","RotPC3",-0.626988928244289
"PCA","E1","RotPC3",0.0804228696929358
"PCA","E2","RotPC3",-0.0852992912843496
"PCA","E3","RotPC3",-0.0711987303611611
"PCA","E4","RotPC3",-0.0918631414229725
"PCA","E5","RotPC3",-0.338887944028315
"PCA","N1","RotPC3",0.0455522012295751
"PCA","N2","RotPC3",0.0268094003032048
"PCA","N3","RotPC3",0.0578242973645557
"PCA","N4","RotPC3",0.172996854270913
"PCA","N5","RotPC3",0.0153960112680877
"PCA","O1","RotPC3",-0.117669746965958
"PCA","O2","RotPC3",-0.0978095431692374
"PCA","O3","RotPC3",-0.0722562386102947
"PCA","O4","RotPC3",0.0264539794344665
"PCA","O5","RotPC3",-0.0474217923087083
"PCA","A1","RotPC4",0.119659637902033
"PCA","A2","RotPC4",0.0569656805335614
"PCA","A3","RotPC4",0.0428689070340544
"PCA","A4","RotPC4",-0.170405120694788
"PCA","A5","RotPC4",0.0485795534028665
"PCA","C1","RotPC4",0.221387423763549
"PCA","C2","RotPC4",0.0991104185909995
"PCA","C3","RotPC4",-0.0386557835659669
"PCA","C4","RotPC4",0.110934895268421
"PCA","C5","RotPC4",-0.0639199934877095
"PCA","E1","RotPC4",0.0431550623476612
"PCA","E2","RotPC4",0.0224244504147073
"PCA","E3","RotPC4",0.279895383760907
"PCA","E4","RotPC4",-0.107626479523936
"PCA","E5","RotPC4",0.207423812023847
"PCA","N1","RotPC4",-0.0827550035498563
"PCA","N2","RotPC4",-0.00661144512669301
"PCA","N3","RotPC4",-0.00342359027554773
"PCA","N4","RotPC4",0.0939873290638079
"PCA","N5","RotPC4",-0.180077884676258
"PCA","O1","RotPC4",0.597791188673258
"PCA","O2","RotPC4",0.606300972576197
"PCA","O3","RotPC4",0.639625228713927
"PCA","O4","RotPC4",0.493690288478186
"PCA","O5","RotPC4",0.677275037720001
"PCA","A1","RotPC5",0.637997170821924
"PCA","A2","RotPC5",0.715667202003617
"PCA","A3","RotPC5",0.688235248296631
"PCA","A4","RotPC5",0.53003558409011
"PCA","A5","RotPC5",0.57179685197226
"PCA","C1","RotPC5",0.014611962677359
"PCA","C2","RotPC5",0.0958679798468594
"PCA","C3","RotPC5",0.118945731576195
"PCA","C4","RotPC5",0.0461022980688969
"PCA","C5","RotPC5",0.0382483782979988
"PCA","E1","RotPC5",0.0774561371153856
"PCA","E2","RotPC5",0.0934594343795639
"PCA","E3","RotPC5",0.2351237284657
"PCA","E4","RotPC5",0.292668671698462
"PCA","E5","RotPC5",0.0488241256840104
"PCA","N1","RotPC5",-0.212482371110602
"PCA","N2","RotPC5",-0.195290128295731
"PCA","N3","RotPC5",-0.028677111463398
"PCA","N4","RotPC5",0.02316430691089
"PCA","N5","RotPC5",0.146409338309872
"PCA","O1","RotPC5",0.0245284437979282
"PCA","O2","RotPC5",-0.108525269553048
"PCA","O3","RotPC5",0.107967319936767
"PCA","O4","RotPC5",0.242732506067
"PCA","O5","RotPC5",0.0180088997843205
"FA","A1","Factor1",-0.103570874500299
"FA","A2","Factor1",0.036627447558396
"FA","A3","Factor1",0.022850039082988
"FA","A4","Factor1",-0.0582736866250463
"FA","A5","Factor1",-0.12368532022269
