"method","metric","dimension","item","value","text","unit"
"Data","input_rows","","",2800,"","persons"
"Data","complete_case_rows","","",2436,"","persons"
"Data","excluded_incomplete_rows","","",364,"","persons"
"Data","missing_count","","A1",16,"","responses"
"Data","missing_count","","A2",27,"","responses"
"Data","missing_count","","A3",26,"","responses"
"Data","missing_count","","A4",19,"","responses"
"Data","missing_count","","A5",16,"","responses"
"Data","missing_count","","C1",21,"","responses"
"Data","missing_count","","C2",24,"","responses"
"Data","missing_count","","C3",20,"","responses"
"Data","missing_count","","C4",26,"","responses"
"Data","missing_count","","C5",16,"","responses"
"Data","missing_count","","E1",23,"","responses"
"Data","missing_count","","E2",16,"","responses"
"Data","missing_count","","E3",25,"","responses"
"Data","missing_count","","E4",9,"","responses"
"Data","missing_count","","E5",21,"","responses"
"Data","missing_count","","N1",22,"","responses"
"Data","missing_count","","N2",21,"","responses"
"Data","missing_count","","N3",11,"","responses"
"Data","missing_count","","N4",36,"","responses"
"Data","missing_count","","N5",29,"","responses"
"Data","missing_count","","O1",22,"","responses"
"Data","missing_count","","O2",0,"","responses"
"Data","missing_count","","O3",28,"","responses"
"Data","missing_count","","O4",14,"","responses"
"Data","missing_count","","O5",20,"","responses"
"PCA","eigenvalue","PC1","",5.13431117720725,"",""
"PCA","variance_explained","PC1","",0.205372447088291,"","proportion"
"PCA","cumulative_variance_explained","PC1","",0.205372447088291,"","proportion"
"PCA","eigenvalue","PC2","",2.75188666799641,"",""
"PCA","variance_explained","PC2","",0.110075466719857,"","proportion"
"PCA","cumulative_variance_explained","PC2","",0.315447913808148,"","proportion"
"PCA","eigenvalue","PC3","",2.14270195401107,"",""
"PCA","variance_explained","PC3","",0.0857080781604434,"","proportion"
"PCA","cumulative_variance_explained","PC3","",0.401155991968592,"","proportion"
"PCA","eigenvalue","PC4","",1.85232761172024,"",""
"PCA","variance_explained","PC4","",0.0740931044688099,"","proportion"
"PCA","cumulative_variance_explained","PC4","",0.475249096437402,"","proportion"
"PCA","eigenvalue","PC5","",1.5481628486211,"",""
"PCA","variance_explained","PC5","",0.0619265139448443,"","proportion"
"PCA","cumulative_variance_explained","PC5","",0.537175610382246,"","proportion"
"PCA","five_component_variance_explained","","",0.537175610382246,"","proportion"
"FA","uniqueness","","A1",0.829635170265744,"","proportion"
"FA","uniqueness","","A2",0.576249398720438,"","proportion"
"FA","uniqueness","","A3",0.466234655666076,"","proportion"
"FA","uniqueness","","A4",0.691103360903885,"","proportion"
"FA","uniqueness","","A5",0.511895631095104,"","proportion"
"FA","uniqueness","","C1",0.659877355314659,"","proportion"
"FA","uniqueness","","C2",0.568622557475364,"","proportion"
"FA","uniqueness","","C3",0.677245766070866,"","proportion"
"FA","uniqueness","","C4",0.509925988402396,"","proportion"
"FA","uniqueness","","C5",0.55724841263604,"","proportion"
"FA","uniqueness","","E1",0.63406955356287,"","proportion"
"FA","uniqueness","","E2",0.454020908993238,"","proportion"
"FA","uniqueness","","E3",0.557751218150821,"","proportion"
"FA","uniqueness","","E4",0.46800795490258,"","proportion"
"FA","uniqueness","","E5",0.592026008386964,"","proportion"
"FA","uniqueness","","N1",0.270585577841892,"","proportion"
"FA","uniqueness","","N2",0.336925410461322,"","proportion"
"FA","uniqueness","","N3",0.477742174440289,"","proportion"
"FA","uniqueness","","N4",0.506791552893125,"","proportion"
"FA","uniqueness","","N5",0.66437105550519,"","proportion"
"FA","uniqueness","","O1",0.67464269989895,"","proportion"
"FA","uniqueness","","O2",0.744114778789534,"","proportion"
"FA","uniqueness","","O3",0.518403574474677,"","proportion"
"FA","uniqueness","","O4",0.751597360936286,"","proportion"
"FA","uniqueness","","O5",0.725943944606581,"","proportion"
"FA","likelihood_ratio_statistic","","",1490.58650377506,"",""
"FA","degrees_of_freedom","","",185,"",""
"FA","p_value","","",1.21815961318631e-202,"",""
"FA","convergence","","",,"TRUE",""
"FA","warnings","","",,"none",""
"FA","random_seed","","",20260916,"",""
"Environment","R_version","","",,"R version 4.4.3 (2025-02-28)",""
"Input","runtime_md5","","",,"75ccf450c00da05ddcf8ee21f1023cba",""
