normalized_doi,original_doi,title,publication_year,authors,openalex_id,url,source_membership,source_count,source_ranks
10.1002/adma.202307768,10.1002/adma.202307768,A Dynamically Stable Mixed Conducting Interphase for All‐Solid‐State Lithium Metal Batteries,2023,Shuai Li; Shi‐Jie Yang; Gui‐Xian Liu; Jiang‐Kui Hu; Yu‐Long Liao; Xilong Wang; Rui Wen; Hong Yuan; Jia‐Qi Huang; Qiang Zhang,W4387735276,https://doi.org/10.1002/adma.202307768,B,1,B:11
10.1039/d1ee03604a,10.1039/d1ee03604a,A self-regulated gradient interphase for dendrite-free solid-state Li batteries,2022,Tengrui Wang; Jian Duan; Bao Zhang; Wei Luo; Xiao Ji; Henghui Xu; Ying Huang; Ying Huang; Liqiang Huang; Zhenyou Song; Jiayun Wen; Chunsheng Wang; Yunhui Huang; Yunhui Huang; John B. Goodenough,W4210320463,https://doi.org/10.1039/d1ee03604a,B,1,B:3
10.1038/s41560-023-01231-w,10.1038/s41560-023-01231-w,Critical interphase overpotential as a lithium dendrite-suppression criterion for all-solid-state lithium battery design,2023,Hongli Wan; Zeyi Wang; Sufu Liu; Bao Zhang; Xinzi He; Weiran Zhang; Chunsheng Wang,W4327568929,https://doi.org/10.1038/s41560-023-01231-w,B,1,B:7
10.1007/s41918-020-00092-1,10.1007/s41918-020-00092-1,Electrolyte/Electrode Interfaces in All-Solid-State Lithium Batteries: A Review,2021,Yuepeng Pang; Jinyu Pan; Junhe Yang; Shiyou Zheng; Chunsheng Wang,W3150031128,https://doi.org/10.1007/s41918-020-00092-1,A,1,A:4
10.1002/aenm.202001320,10.1002/aenm.202001320,Enabling High‐Energy Solid‐State Batteries with Stable Anode Interphase by the Use of Columnar Silicon Anodes,2020,Şahin Cangaz; Felix Hippauf; Florian Reuter; Susanne Doerfler; Thomas Abendroth; Holger Althues; Stefan Kaskel,W3043824166,https://doi.org/10.1002/aenm.202001320,B,1,B:5
10.34133/2021/1932952,10.34133/2021/1932952,Formation of Stable Interphase of Polymer-in-Salt Electrolyte in All-Solid-State Lithium Batteries,2021,Hongcai Gao; Nicholas S. Grundish; Yongjie Zhao; Aijun Zhou; John B. Goodenough,W3114427371,https://doi.org/10.34133/2021/1932952,B,1,B:2
10.1016/j.chempr.2021.06.019,10.1016/j.chempr.2021.06.019,In situ formation of polymer-inorganic solid-electrolyte interphase for stable polymeric solid-state lithium-metal batteries,2021,Tao Deng; Longsheng Cao; Xinzi He; Ai‐Min Li; Dan Li; Feng Xu; Sufu Liu; Panxing Bai; Ting Jin; Lin Ma; Marshall A. Schroeder; Xiulin Fan; Chunsheng Wang,W3182962105,https://doi.org/10.1016/j.chempr.2021.06.019,B,1,B:4
10.1007/s41918-024-00212-1,10.1007/s41918-024-00212-1,Li–Solid Electrolyte Interfaces/Interphases in All-Solid-State Li Batteries,2024,Linan Jia; Jinhui Zhu; Xi Zhang; Bangjun Guo; Yibo Du; Xiaodong Zhuang,W4392914257,https://doi.org/10.1007/s41918-024-00212-1,A|B,2,A:12|B:6
10.1038/s41563-020-00903-2,10.1038/s41563-020-00903-2,Linking void and interphase evolution to electrochemistry in solid-state batteries using operando X-ray tomography,2021,John A. Lewis; Francisco Javier Quintero Cortes; Yuhgene Liu; John Miers; Ankit Verma; Bairav S. Vishnugopi; Jared Tippens; Dhruv Prakash; Thomas S. Marchese; Sang Yun Han; Chanhee Lee; Pralav P. Shetty; Hyun‐Wook Lee; Pavel Shevchenko; Francesco De Carlo; Christopher Saldaña; Partha P. Mukherjee; Matthew T. McDowell,W3125257567,https://doi.org/10.1038/s41563-020-00903-2,B,1,B:1
10.1016/j.mattod.2021.08.005,10.1016/j.mattod.2021.08.005,Polymer electrolytes and interfaces in solid-state lithium metal batteries,2021,Peipei Ding; Zhiyuan Lin; Xianwei Guo; Lingqiao Wu; Yongtao Wang; Hongxia Guo; Liangliang Li; Haijun Yu,W3197781076,https://doi.org/10.1016/j.mattod.2021.08.005,A,1,A:3
