attempt_status,search_date,database,batch,query,year_from,year_to,work_type,sort,requested_candidates,api_total,returned_candidates,rank,openalex_id,record_url,doi_url,title,original_doi,publication_year,venue,decision,reason
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,1,W3195647900,https://openalex.org/W3195647900,https://doi.org/10.1021/acsenergylett.1c01395,Stack Pressure Measurements to Probe the Evolution of the Lithium–Solid-State Electrolyte Interface,10.1021/acsenergylett.1c01395,2021,ACS Energy Letters,included,Included: directly studies evolution of the lithium–solid-state-electrolyte interface.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,2,W3105248494,https://openalex.org/W3105248494,https://doi.org/10.1002/aenm.202002689,Solid‐State Li–Metal Batteries: Challenges and Horizons of Oxide and Sulfide Solid Electrolytes and Their Interfaces,10.1002/aenm.202002689,2020,Advanced Energy Materials,included,Included: directly reviews solid electrolytes and their interfaces in solid-state Li-metal batteries.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,3,W3197781076,https://openalex.org/W3197781076,https://doi.org/10.1016/j.mattod.2021.08.005,Polymer electrolytes and interfaces in solid-state lithium metal batteries,10.1016/j.mattod.2021.08.005,2021,Materials Today,included,Included: directly addresses polymer electrolytes and interfaces in solid-state lithium-metal batteries.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,4,W3150031128,https://openalex.org/W3150031128,https://doi.org/10.1007/s41918-020-00092-1,Electrolyte/Electrode Interfaces in All-Solid-State Lithium Batteries: A Review,10.1007/s41918-020-00092-1,2021,Electrochemical Energy Reviews,included,Included: directly reviews electrolyte/electrode interfaces in all-solid-state lithium batteries.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,5,W4389453205,https://openalex.org/W4389453205,https://doi.org/10.1002/anie.202316904,A Fluorinated Solid‐state‐electrolyte Interface Layer Guiding Fast Zinc‐ion Oriented Deposition in Aqueous Zinc‐ion Batteries,10.1002/anie.202316904,2023,Angewandte Chemie International Edition,excluded,"Excluded: aqueous zinc-ion battery, outside the all-solid-state battery scope."
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,6,W3162838683,https://openalex.org/W3162838683,https://doi.org/10.1038/s41563-021-01016-0,Revealing the role of the cathode–electrolyte interface on solid-state batteries,10.1038/s41563-021-01016-0,2021,Nature Materials,included,Included: directly studies the cathode–electrolyte interface in solid-state batteries.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,7,W3160916040,https://openalex.org/W3160916040,https://doi.org/10.1002/adma.202100353,10 μm‐Thick High‐Strength Solid Polymer Electrolytes with Excellent Interface Compatibility for Flexible All‐Solid‐State Lithium‐Metal Batteries,10.1002/adma.202100353,2021,Advanced Materials,excluded,Excluded due to the eight-record cap: primarily a thin solid-polymer-electrolyte materials paper; interface compatibility is secondary.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,8,W3046605111,https://openalex.org/W3046605111,https://doi.org/10.1016/j.ensm.2020.08.002,Polymer electrolytes and interfaces toward solid-state batteries: Recent advances and prospects,10.1016/j.ensm.2020.08.002,2020,Energy storage materials,included,Included: directly reviews polymer-electrolyte interfaces for solid-state batteries.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,9,W3009632230,https://openalex.org/W3009632230,https://doi.org/10.1021/acsenergylett.0c00207,Ultrastable Anode Interface Achieved by Fluorinating Electrolytes for All-Solid-State Li Metal Batteries,10.1021/acsenergylett.0c00207,2020,ACS Energy Letters,excluded,Excluded due to the eight-record cap: relevant anode-interface paper but less directly centered on the solid-state-electrolyte interface than retained records.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,10,W3017385275,https://openalex.org/W3017385275,https://doi.org/10.1002/aenm.202000049,Stable Seamless Interfaces and Rapid Ionic Conductivity of Ca–CeO2/LiTFSI/PEO Composite Electrolyte for High‐Rate and High‐Voltage All‐Solid‐State Battery,10.1002/aenm.202000049,2020,Advanced Energy Materials,excluded,Excluded due to the eight-record cap: primarily a composite-electrolyte conductivity/performance paper; interface treatment is secondary.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,11,W3022603908,https://openalex.org/W3022603908,https://doi.org/10.1002/adma.202000030,Tuning the Anode–Electrolyte Interface Chemistry for Garnet‐Based Solid‐State Li Metal Batteries,10.1002/adma.202000030,2020,Advanced Materials,included,Included: directly studies anode–electrolyte interface chemistry in garnet solid-state batteries.
completed,2026-09-16,OpenAlex,A,solid state electrolyte interface,2020,2025,article,relevance,12,94620,12,12,W4392914257,https://openalex.org/W4392914257,https://doi.org/10.1007/s41918-024-00212-1,Li–Solid Electrolyte Interfaces/Interphases in All-Solid-State Li Batteries,10.1007/s41918-024-00212-1,2024,Electrochemical Energy Reviews,included,Included: directly reviews Li–solid-electrolyte interfaces/interphases in all-solid-state batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,1,W3125257567,https://openalex.org/W3125257567,https://doi.org/10.1038/s41563-020-00903-2,Linking void and interphase evolution to electrochemistry in solid-state batteries using operando X-ray tomography,10.1038/s41563-020-00903-2,2021,Nature Materials,included,Included: directly links interphase evolution to electrochemistry in solid-state batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,2,W3114427371,https://openalex.org/W3114427371,https://doi.org/10.34133/2021/1932952,Formation of Stable Interphase of Polymer-in-Salt Electrolyte in All-Solid-State Lithium Batteries,10.34133/2021/1932952,2021,Energy Material Advances,included,Included: directly studies stable interphase formation in all-solid-state lithium batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,3,W4210320463,https://openalex.org/W4210320463,https://doi.org/10.1039/d1ee03604a,A self-regulated gradient interphase for dendrite-free solid-state Li batteries,10.1039/d1ee03604a,2022,Energy & Environmental Science,included,Included: directly studies an interphase for dendrite-free solid-state lithium batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,4,W3182962105,https://openalex.org/W3182962105,https://doi.org/10.1016/j.chempr.2021.06.019,In situ formation of polymer-inorganic solid-electrolyte interphase for stable polymeric solid-state lithium-metal batteries,10.1016/j.chempr.2021.06.019,2021,Chem,included,Included: directly studies a polymer–inorganic solid-electrolyte interphase in solid-state lithium-metal batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,5,W3043824166,https://openalex.org/W3043824166,https://doi.org/10.1002/aenm.202001320,Enabling High‐Energy Solid‐State Batteries with Stable Anode Interphase by the Use of Columnar Silicon Anodes,10.1002/aenm.202001320,2020,Advanced Energy Materials,included,Included: directly studies a stable anode interphase in solid-state batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,6,W4392914257,https://openalex.org/W4392914257,https://doi.org/10.1007/s41918-024-00212-1,Li–Solid Electrolyte Interfaces/Interphases in All-Solid-State Li Batteries,10.1007/s41918-024-00212-1,2024,Electrochemical Energy Reviews,included,Included: directly reviews Li–solid-electrolyte interfaces/interphases in all-solid-state batteries.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,7,W4327568929,https://openalex.org/W4327568929,https://doi.org/10.1038/s41560-023-01231-w,Critical interphase overpotential as a lithium dendrite-suppression criterion for all-solid-state lithium battery design,10.1038/s41560-023-01231-w,2023,Nature Energy,included,Included: directly studies interphase overpotential for all-solid-state lithium-battery design.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,8,W4317387800,https://openalex.org/W4317387800,https://doi.org/10.1002/aenm.202203307,Lithium Batteries and the Solid Electrolyte Interphase (SEI)—Progress and Outlook,10.1002/aenm.202203307,2023,Advanced Energy Materials,excluded,Excluded: broad lithium-battery SEI review; title does not establish a primary all-solid-state battery focus.
completed,2026-09-16,OpenAlex,B,solid state battery interphase,2020,2025,article,relevance,12,15355,12,9,W3184182462,https://openalex.org/W3184182462,https://doi.org/10.1002/anie.202108050,A Surface Coordination Interphase Stabilizes a Solid‐State Battery,10.1002/anie.202108050,2021,Angewandte Chemie International Edition,excluded,"Excluded due to the eight-record cap: relevant surface-coordination interphase paper, but narrower and less explicit about electrolyte-interface scope than retained records."
