rank,decision,reason,baseline_status,openalex_id,source_url,doi,doi_url,title,publication_date,venue,authors,evidence_basis
1,retained,Directly reviews dynamic behaviour and transport processes of microplastics in freshwater systems.,not_in_baseline,W4394590248,https://openalex.org/W4394590248,10.1016/j.resconrec.2024.107578,https://doi.org/10.1016/j.resconrec.2024.107578,Microplastics in freshwater systems: Dynamic behaviour and transport processes,2024-04-08,Resources Conservation and Recycling,Mingqi Guo; Roohollah Noori; Soroush Abolfathi,OpenAlex metadata plus license-permitted abstract
2,retained,"Directly covers freshwater occurrence, distribution dynamics, fate, and transport processes.",not_in_baseline,W4408559267,https://openalex.org/W4408559267,10.1016/j.ecoenv.2025.118036,https://doi.org/10.1016/j.ecoenv.2025.118036,"Microplastics in freshwater and marine ecosystems: Occurrence, characterization, sources, distribution dynamics, fate, transport processes, potential mitigation strategies, and policy interventions",2025-03-18,Ecotoxicology and Environmental Safety,Toheeb Lekan Jolaosho; Mariam Folashade Rasaq; Eniola Victoria Omotoye; Oluwadamilola Victoria Araomo; Opeyemi Shakirat Adekoya; Opeyemi Yusuf Abolaji; Jesuyon Joseph Hungbo,OpenAlex metadata/title only
3,excluded,"Excluded: cardiovascular outcomes are the focus, not freshwater microplastic transport.",not_in_baseline,W4392520497,https://openalex.org/W4392520497,10.1056/nejmoa2309822,https://doi.org/10.1056/nejmoa2309822,Microplastics and Nanoplastics in Atheromas and Cardiovascular Events,2024-03-06,New England Journal of Medicine,Raffaele Marfella; Francesco Prattichizzo; Celestino Sardu; Gianluca Fulgenzi; Laura Graciotti; Tatiana Spadoni; Nunzia D’Onofrio; Lucia Scisciola; Rosalba La Grotta; Chiara Frigé; Valeria Pellegrini; Maurizio Municinò; Mario Siniscalchi; Fabio Spinetti; Gennaro Vigliotti; Carmine Vecchione; Albino Carrizzo; Giulio Accarino; Antonio Squillante; Giuseppe Spaziano; Davida Mirra; Renata Esposito; Simona Altieri; Giovanni Falco; Angelo Fenti; Simona Galoppo; Silvana Canzano; Ferdinando Carlo Sasso; Giulia Matacchione; Fabiola Olivieri; Franca Ferraraccio; Iacopo Panarese; Pasquale Paolisso; Emanuele Barbato; Carmine Lubritto; Maria Luisa Balestrieri; Ciro Mauro; A. Enrique Caballero; Sanjay Rajagopalan; Antonio Ceriello; Bruno D’Agostino; Pasquale Iovino; Giuseppe Paolisso,OpenAlex metadata/title only
4,retained,Directly examines vertical transport of plastics in freshwater.,not_in_baseline,W4388816486,https://openalex.org/W4388816486,10.1016/j.scitotenv.2023.168399,https://doi.org/10.1016/j.scitotenv.2023.168399,Microplastic-specific biofilm growth determines the vertical transport of plastics in freshwater,2023-11-20,The Science of The Total Environment,Maaike Vercauteren; Silke Lambert; Esther Hoogerwerf; Colin R. Janssen; Jana Asselman,OpenAlex metadata/title only
5,excluded,"Excluded: broad review centered on sources, toxicity, health, and remediation without a freshwater transport focus.",not_in_baseline,W4362553834,https://openalex.org/W4362553834,10.1007/s10311-023-01593-3,https://doi.org/10.1007/s10311-023-01593-3,"Microplastic sources, formation, toxicity and remediation: a review",2023-04-04,Environmental Chemistry Letters,Ahmed I. Osman; Mohamed Hosny; Abdelazeem S. Eltaweil; Sara Omar; Ahmed M. Elgarahy; Mohamed Farghali; Pow‐Seng Yap; Yuan Seng Wu; Saraswathi Nagandran; Kalaivani Batumalaie; Subash C. B. Gopinath; Oliver D. John; Mahendran Sekar; Trideep Saikia; Puvanan Karunanithi; Mohd Hayrie Mohd Hatta; Kolajo Adedamola Akinyede,OpenAlex metadata plus license-permitted abstract
6,retained,"Addresses microplastics as carriers and their environmental transport, a mechanism relevant to freshwater systems.",not_in_baseline,W4390128611,https://openalex.org/W4390128611,10.1016/j.envpol.2023.123190,https://doi.org/10.1016/j.envpol.2023.123190,"Microplastics as carriers of toxic pollutants: Source, transport, and toxicological effects",2023-12-22,Environmental Pollution,Nazifa Rafa; Bushra Ahmed; Fatema Tuj Zohora; Jannatul Bakya; Samiya Ahmed; Shams Forruque Ahmed; M. Mofijur; Ashfaque Ahmed Chowdhury; Fares Almomani,OpenAlex metadata/title only
7,retained,"Directly addresses drivers of freshwater microplastic occurrence, transport, and fate.",not_in_baseline,W4400891654,https://openalex.org/W4400891654,10.1080/10643389.2024.2380537,https://doi.org/10.1080/10643389.2024.2380537,"Advances in quantifying the drivers of the occurrence, transport, and fate of freshwater microplastics",2024-07-22,Critical Reviews in Environmental Science and Technology,Chang Li; Dan Luo; Yi Shi; Xue Bai; Stefan Krause; Ruifeng Wang; Kexin Li,OpenAlex metadata/title only
8,excluded,Excluded: broad environment and food-safety review without a freshwater transport focus.,not_in_baseline,W4318052506,https://openalex.org/W4318052506,10.3390/nu15030617,https://doi.org/10.3390/nu15030617,Microplastics: A Real Global Threat for Environment and Food Safety: A State of the Art Review,2023-01-25,Nutrients,Khaled Ziani; Corina-Bianca Ioniță-Mîndrican; Magdalena Mititelu; Sorinel Marius Neacșu; Carolina Negrei; Elena Moroșan; Doina Drăgănescu; Olivia-Teodora Preda,OpenAlex metadata plus license-permitted abstract
9,retained,Directly addresses microplastic occurrence and transport in freshwater ecosystems.,not_in_baseline,W4391983169,https://openalex.org/W4391983169,10.1016/j.trac.2024.117611,https://doi.org/10.1016/j.trac.2024.117611,"Microplastic occurrences, transport, and quantification and associated effects on primary productivity and carbon cycling processes in freshwater ecosystems",2024-02-20,TrAC Trends in Analytical Chemistry,Fan Wu; Xianrui Ha; Shuoyue Wang; Jiajia Li; Yang Gao,OpenAlex metadata/title only
10,retained,Reviews freshwater microplastic pollution in polar regions and explicitly considers transport patterns.,not_in_baseline,W4318069443,https://openalex.org/W4318069443,10.1016/j.scitotenv.2023.161847,https://doi.org/10.1016/j.scitotenv.2023.161847,A plastic world: A review of microplastic pollution in the freshwaters of the Earth's poles,2023-01-26,The Science of The Total Environment,Federico Citterich; Angelina Lo Giudice; Maurizio Azzaro,OpenAlex metadata plus license-permitted abstract
