year,nasa_anomaly_c,nasa_rebased_c,hadcrut_anomaly_c,hadcrut_lower_95_c,hadcrut_upper_95_c,hadcrut_rebased_c,hadcrut_lower_rebased_95_c,hadcrut_upper_rebased_95_c,difference_nasa_minus_hadcrut_c
1980,0.26000000,-0.35266667,0.19152240,0.15895404,0.22409077,-0.34647314,-0.37904150,-0.31390477,-0.00619352
1981,0.32000000,-0.29266667,0.24696657,0.21572646,0.27820668,-0.29102897,-0.32226908,-0.25978886,-0.00163769
1982,0.14000000,-0.47266667,0.03096709,-0.00952928,0.07146346,-0.50702845,-0.54752482,-0.46653208,0.03436179
1983,0.31000000,-0.30266667,0.22084606,0.18532144,0.25637066,-0.31714948,-0.35267410,-0.28162488,0.01448282
1984,0.16000000,-0.45266667,0.04603783,0.01205215,0.08002350,-0.49195771,-0.52594339,-0.45797204,0.03929105
1985,0.12000000,-0.49266667,0.04598822,0.01291383,0.07906260,-0.49200733,-0.52508172,-0.45893294,-0.00065934
1986,0.18000000,-0.43266667,0.09232101,0.05997035,0.12467167,-0.44567453,-0.47802520,-0.41332387,0.01300787
1987,0.32000000,-0.29266667,0.23820166,0.20746788,0.26893544,-0.29979388,-0.33052766,-0.26906010,0.00712722
1988,0.39000000,-0.22266667,0.27761188,0.24264786,0.31257588,-0.26038366,-0.29534768,-0.22541966,0.03771700
1989,0.27000000,-0.34266667,0.17489623,0.13952829,0.21026415,-0.36309931,-0.39846725,-0.32773139,0.02043265
1990,0.45000000,-0.16266667,0.35504323,0.31983990,0.39024660,-0.18295231,-0.21815564,-0.14774894,0.02028565
1991,0.41000000,-0.20266667,0.33380960,0.29820600,0.36941323,-0.20418594,-0.23978954,-0.16858231,0.00151928
1992,0.22000000,-0.39266667,0.12002608,0.08646348,0.15358868,-0.41796946,-0.45153206,-0.38440686,0.02530280
1993,0.23000000,-0.38266667,0.16109136,0.12275459,0.19942813,-0.37690418,-0.41524095,-0.33856741,-0.00576248
1994,0.32000000,-0.29266667,0.22744027,0.19105788,0.26382264,-0.31055527,-0.34693766,-0.27417290,0.01788861
1995,0.45000000,-0.16266667,0.37113267,0.33795348,0.40431187,-0.16686287,-0.20004206,-0.13368367,0.00419621
1996,0.33000000,-0.28266667,0.27083950,0.23858547,0.30309352,-0.26715604,-0.29941007,-0.23490202,-0.01551062
1997,0.47000000,-0.14266667,0.41507134,0.38259527,0.44754740,-0.12292420,-0.15540027,-0.09044814,-0.01974246
1998,0.61000000,-0.00266667,0.57196100,0.53891474,0.60500720,0.03396546,0.00091920,0.06701166,-0.03663212
1999,0.38000000,-0.23266667,0.31803780,0.28542268,0.35065293,-0.21995774,-0.25257286,-0.18734261,-0.01270892
2000,0.39000000,-0.22266667,0.32550883,0.29276880,0.35824883,-0.21248671,-0.24522674,-0.17974671,-0.01017995
2001,0.53000000,-0.08266667,0.48345044,0.44965735,0.51724350,-0.05454510,-0.08833819,-0.02075204,-0.02812156
2002,0.63000000,0.01733333,0.53715890,0.50693500,0.56738280,-0.00083664,-0.03106054,0.02938726,0.01816998
2003,0.62000000,0.00733333,0.53827950,0.50481236,0.57174665,0.00028396,-0.03318318,0.03375111,0.00704938
2004,0.53000000,-0.08266667,0.46242514,0.43205660,0.49279368,-0.07557040,-0.10593894,-0.04520186,-0.00709626
2005,0.68000000,0.06733333,0.60230726,0.57106880,0.63354570,0.06431172,0.03307326,0.09555016,0.00302162
2006,0.64000000,0.02733333,0.56632440,0.53501517,0.59763366,0.02832886,-0.00298037,0.05963812,-0.00099552
2007,0.66000000,0.04733333,0.58551410,0.55357254,0.61745580,0.04751856,0.01557700,0.07946026,-0.00018522
2008,0.54000000,-0.07266667,0.45918968,0.42672130,0.49165806,-0.07880586,-0.11127424,-0.04633748,0.00613920
2009,0.66000000,0.04733333,0.59000766,0.55914190,0.62087345,0.05201212,0.02114636,0.08287791,-0.00467878
2010,0.72000000,0.10733333,0.67364746,0.64301527,0.70427970,0.13565192,0.10501973,0.16628416,-0.02831858
2011,0.61000000,-0.00266667,0.53261703,0.50169677,0.56353736,-0.00537851,-0.03629877,0.02554182,0.00271185
2012,0.65000000,0.03733333,0.57151170,0.53981286,0.60321057,0.03351616,0.00181732,0.06521503,0.00381718
2013,0.68000000,0.06733333,0.61864330,0.58315980,0.65412676,0.08064776,0.04516426,0.11613122,-0.01331442
2014,0.75000000,0.13733333,0.66785910,0.63536745,0.70035070,0.12986356,0.09737191,0.16235516,0.00746978
2015,0.90000000,0.28733333,0.81795050,0.78429310,0.85160780,0.27995496,0.24629756,0.31361226,0.00737838
